batch	sample_id	intensity	lipidName	LipidIon	Class	CalcMz	qc_grade	qc_sn	qc_rt	qc_height	is_qc	keep_for_correction
batch2	QC_1	22000000	PS(22:3_22:4)	PS(22:3_22:4)+H	PS	890.5905635	NA	2280713.5	NA	NA	TRUE	TRUE
batch2	QC_2	26300000	PS(22:3_22:4)	PS(22:3_22:4)+H	PS	890.5905635	NA	12.33297062	NA	NA	TRUE	TRUE
batch2	QC_3	24800000	PS(22:3_22:4)	PS(22:3_22:4)+H	PS	890.5905635	NA	14.91386036	NA	NA	TRUE	TRUE
batch2	WT_1	20000000	PS(22:3_22:4)	PS(22:3_22:4)+H	PS	890.5905635	NA	1444470.38	NA	NA	FALSE	TRUE
batch2	WT_2	20800000	PS(22:3_22:4)	PS(22:3_22:4)+H	PS	890.5905635	NA	1973138.5	NA	NA	FALSE	TRUE
batch2	WT_3	19000000	PS(22:3_22:4)	PS(22:3_22:4)+H	PS	890.5905635	NA	1745196.63	NA	NA	FALSE	TRUE
batch2	WT_5	23000000	PS(22:3_22:4)	PS(22:3_22:4)+H	PS	890.5905635	B	7.550618679	NA	NA	FALSE	TRUE
batch2	HO_10	116000000	PS(38:7e)	PS(38:7e)-H	PS	790.5028455	C	29.46859565	NA	NA	FALSE	TRUE
batch2	HO_11	106000000	PS(38:7e)	PS(38:7e)-H	PS	790.5028455	C	8803964	NA	NA	FALSE	TRUE
batch2	HO_12	112000000	PS(38:7e)	PS(38:7e)-H	PS	790.5028455	C	37.73758899	NA	NA	FALSE	TRUE
batch2	HO_9	105000000	PS(38:7e)	PS(38:7e)-H	PS	790.5028455	C	22.30404782	NA	NA	FALSE	TRUE
batch2	QC_0	110000000	PS(38:7e)	PS(38:7e)-H	PS	790.5028455	C	32.71667341	NA	NA	TRUE	TRUE
batch2	QC_1	108000000	PS(38:7e)	PS(38:7e)-H	PS	790.5028455	C	19.80788681	NA	NA	TRUE	TRUE
batch2	QC_2	107000000	PS(38:7e)	PS(38:7e)-H	PS	790.5028455	C	27.74266301	NA	NA	TRUE	TRUE
batch2	QC_3	104000000	PS(38:7e)	PS(38:7e)-H	PS	790.5028455	C	51.63216586	NA	NA	TRUE	TRUE
batch2	WT_1	109000000	PS(38:7e)	PS(38:7e)-H	PS	790.5028455	C	291.9803566	NA	NA	FALSE	TRUE
batch2	WT_2	114000000	PS(38:7e)	PS(38:7e)-H	PS	790.5028455	C	29.98680356	NA	NA	FALSE	TRUE
batch2	WT_3	115000000	PS(38:7e)	PS(38:7e)-H	PS	790.5028455	C	34.30518107	NA	NA	FALSE	TRUE
batch2	WT_5	107000000	PS(38:7e)	PS(38:7e)-H	PS	790.5028455	C	19.45830496	NA	NA	FALSE	TRUE
batch2	HO_10	131000000	PS(40:7e)	PS(40:7e)-H	PS	818.5341455	C	80.16525127	NA	NA	FALSE	TRUE
batch2	HO_11	121000000	PS(40:7e)	PS(40:7e)-H	PS	818.5341455	C	9659295	NA	NA	FALSE	TRUE
