Class	global_sample_id	group	sum_intensity	mean_intensity	log2_mean_intensity
DG	batch2_HO_11	HO	31561064090.901794	584464149.831515	29.122539293784836
DG	batch2_HO_12	HO	17760719288.426968	328902209.04494387	28.293083457048695
DG	batch2_HO_9	HO	21425620522.090786	396770750.4090885	28.563730434533554
DG	batch2_QC_0	NA	19069802536.13917	353144491.40998465	28.395683351629433
DG	batch2_QC_1	NA	18850611363.932648	349085395.6283824	28.379004760517677
DG	batch2_QC_2	NA	19264881885.326637	356757071.9504934	28.410366787445444
DG	batch2_QC_3	NA	19125782434.43416	354181156.19322515	28.399912216276903
DG	batch2_WT_1	WT	19944436272.76246	369341412.4585641	28.460379793099204
DG	batch2_WT_2	WT	11433252414.78214	211726896.57003966	27.657629311786017
DG	batch2_WT_3	WT	12017882792.586714	222553385.04790208	27.729576203518302
DG	batch2_WT_5	WT	14690746001.475142	272050851.8791692	28.019301105048328
DG	batch3_HO_5	HO	10537673246.764828	224205813.76095378	27.740248447480205
DG	batch3_HO_6	HO	9388596126.011261	199757364.38321832	27.573673450554036
DG	batch3_HO_7	HO	10429919965.322285	221913190.75153795	27.725420184480743
DG	batch3_HO_8	HO	10168767462.53564	216356754.52203494	27.688836920595154
DG	batch3_QC_0	NA	9968803240.728083	212102196.61123577	27.660184321144776
