batch	sample_id	intensity	lipidName	LipidIon	Class	CalcMz	qc_grade	qc_sn	qc_rt	qc_height	is_qc
batch1	HO_6	81781175.39	PE(18:1e_20:3)-H	PE(18:1e_20:3)-H	PE	752.5599655299999	A	6030647	NA	NA	FALSE
batch1	HO_5	117827103.7	PE(18:1e_20:3)-H	PE(18:1e_20:3)-H	PE	752.5599655299999	A	9635938	NA	NA	FALSE
batch1	QC_1	15960225.57	PE(18:1e_20:3)-H	PE(18:1e_20:3)-H	PE	752.5599655299999	A	10.684461065102155	NA	NA	TRUE
batch1	WT_4	16811101.31	PE(18:1e_20:3)-H	PE(18:1e_20:3)-H	PE	752.5599655299999	A	3.767605949076043	NA	NA	FALSE
batch1	WT_3	15744468	PE(18:1e_20:3)-H	PE(18:1e_20:3)-H	PE	752.5599655299999	NA	1668887.38	NA	NA	FALSE
batch1	WT_2	17206834.73	PE(18:1e_20:3)-H	PE(18:1e_20:3)-H	PE	752.5599655299999	A	1621325.88	NA	NA	FALSE
batch1	WT_1	16078484.39	PE(18:1e_20:3)-H	PE(18:1e_20:3)-H	PE	752.5599655299999	A	8.326735132917142	NA	NA	FALSE
batch1	HO_8	17475269.39	PE(18:1e_20:3)-H	PE(18:1e_20:3)-H	PE	752.5599655299999	A	9.066914968	NA	NA	FALSE
batch1	HO_7	14284526.13	PE(18:1e_20:3)-H	PE(18:1e_20:3)-H	PE	752.5599655299999	A	1221926.63	NA	NA	FALSE
batch1	HO_6	9988773.45	PE(18:1e_20:3)-H	PE(18:1e_20:3)-H	PE	752.5599655299999	B	959961.13	NA	NA	FALSE
batch1	HO_5	15704179.85	PE(18:1e_20:3)-H	PE(18:1e_20:3)-H	PE	752.5599655299999	A	1412293	NA	NA	FALSE
batch1	QC_1	248035689.2	PE(18:1e_20:4)-H	PE(18:1e_20:4)-H	PE	750.5443155	NA	2.773989845	NA	NA	TRUE
batch1	WT_4	233389275.6	PE(18:1e_20:4)-H	PE(18:1e_20:4)-H	PE	750.5443155	NA	7.290339805464505	NA	NA	FALSE
batch1	WT_3	209535347.2	PE(18:1e_20:4)-H	PE(18:1e_20:4)-H	PE	750.5443155	NA	16.73986138565757	NA	NA	FALSE
batch1	WT_2	219975669.9	PE(18:1e_20:4)-H	PE(18:1e_20:4)-H	PE	750.5443155	NA	7.3655721469255715	NA	NA	FALSE
batch1	WT_1	221752817.7	PE(18:1e_20:4)-H	PE(18:1e_20:4)-H	PE	750.5443155	NA	7.357396818036265	NA	NA	FALSE
batch1	HO_8	234754810.9	PE(18:1e_20:4)-H	PE(18:1e_20:4)-H	PE	750.5443155	NA	7.499008026108542	NA	NA	FALSE
batch1	HO_7	176784417.3	PE(18:1e_20:4)-H	PE(18:1e_20:4)-H	PE	750.5443155	NA	11.22646972009349	NA	NA	FALSE
batch1	HO_6	211024984.5	PE(18:1e_20:4)-H	PE(18:1e_20:4)-H	PE	750.5443155	B	4.808061766	NA	NA	FALSE
batch1	HO_5	258414635.7	PE(18:1e_20:4)-H	PE(18:1e_20:4)-H	PE	750.5443155	NA	6.414426767796023	NA	NA	FALSE
batch1	QC_1	2732287761	PE(18:1e_20:4)-H	PE(18:1e_20:4)-H	PE	750.5443155	A	262.3425241151624	NA	NA	TRUE
batch1	WT_4	2870099615	PE(18:1e_20:4)-H	PE(18:1e_20:4)-H	PE	750.5443155	A	704.6105691227673	NA	NA	FALSE
batch1	WT_3	2828344827	PE(18:1e_20:4)-H	PE(18:1e_20:4)-H	PE	750.5443155	A	244.6747088650337	NA	NA	FALSE
